Ticker,Volume,Close,High,Low,Time
BINANCE:SOLUSDT,104362.84,146.35,146.7,144.65,2021-09-27 14:00:00
BINANCE:SOLUSDT,219272.92,144.31,147.97,143.16,2021-09-27 14:30:00
BINANCE:SOLUSDT,116305.99,145.45,145.5,143.6,2021-09-27 15:00:00
BINANCE:SOLUSDT,85852.36,145.25,145.86,144.21,2021-09-27 15:30:00
BINANCE:SOLUSDT,101339.68,143.57,145.43,143.3,2021-09-27 16:00:00
BINANCE:SOLUSDT,209018.89,141.74,143.93,140.41,2021-09-27 16:30:00
BINANCE:SOLUSDT,94667.83,141.71,143.3,141.1,2021-09-27 17:00:00
BINANCE:SOLUSDT,70247.8,143.03,143.21,141.13,2021-09-27 17:30:00
BINANCE:SOLUSDT,77760.54,143.21,143.98,142.53,2021-09-27 18:00:00
BINANCE:SOLUSDT,64869.88,142.46,143.69,141.53,2021-09-27 18:30:00
BINANCE:SOLUSDT,60389.46,144.12,144.2,141.8,2021-09-27 19:00:00
BINANCE:SOLUSDT,43758.56,143.29,144.41,143.23,2021-09-27 19:30:00
BINANCE:SOLUSDT,91989.8,142.55,143.31,140.83,2021-09-27 20:00:00
BINANCE:SOLUSDT,139453.85,138.79,142.68,138.01,2021-09-27 20:30:00
BINANCE:SOLUSDT,52407.1,140.28,140.34,138.13,2021-09-27 21:00:00
BINANCE:SOLUSDT,50118.89,140.95,141.49,139.75,2021-09-27 21:30:00
BINANCE:SOLUSDT,48298.87,142.05,142.26,140.52,2021-09-27 22:00:00
BINANCE:SOLUSDT,48960.15,140.32,142.43,139.67,2021-09-27 22:30:00
BINANCE:SOLUSDT,172474.41,136.37,140.42,136.15,2021-09-27 23:00:00
BINANCE:SOLUSDT,148839.45,136.35,137.53,135.3,2021-09-27 23:30:00
BINANCE:SOLUSDT,109139.57,137.67,138.4,135.23,2021-09-28 00:00:00
BINANCE:SOLUSDT,61833.82,137.22,138.67,136.54,2021-09-28 00:30:00
BINANCE:SOLUSDT,98004.39,135.47,137.27,135.07,2021-09-28 01:00:00
BINANCE:SOLUSDT,79487.67,137.04,137.55,135.08,2021-09-28 01:30:00
BINANCE:SOLUSDT,46943.72,137.32,137.87,136.83,2021-09-28 02:00:00
BINANCE:SOLUSDT,43976.54,136.93,137.39,136.01,2021-09-28 02:30:00
BINANCE:SOLUSDT,38482.22,137.37,137.71,136.29,2021-09-28 03:00:00
BINANCE:SOLUSDT,49411.43,138.12,138.48,137.02,2021-09-28 03:30:00
BINANCE:SOLUSDT,62522.14,139.01,139.4,137.7,2021-09-28 04:00:00
BINANCE:SOLUSDT,49648.35,138.8,139.22,138.16,2021-09-28 04:30:00
BINANCE:SOLUSDT,60022.63,137.01,138.92,136.85,2021-09-28 05:00:00
BINANCE:SOLUSDT,64242.11,136.92,137.52,136.34,2021-09-28 05:30:00
BINANCE:SOLUSDT,55793.87,136.68,137.37,135.58,2021-09-28 06:00:00
BINANCE:SOLUSDT,119038.29,136.39,137.15,134.66,2021-09-28 06:30:00
BINANCE:SOLUSDT,92815.77,134.34,137.18,134.02,2021-09-28 07:00:00
BINANCE:SOLUSDT,137881.93,133.66,134.76,132.41,2021-09-28 07:30:00
BINANCE:SOLUSDT,132447.12,134.33,135.49,132.84,2021-09-28 08:00:00
BINANCE:SOLUSDT,71274.57,135.05,135.33,133.27,2021-09-28 08:30:00
BINANCE:SOLUSDT,55210.87,135.53,135.65,133.82,2021-09-28 09:00:00
BINANCE:SOLUSDT,73502.12,134.79,136.53,134.69,2021-09-28 09:30:00
BINANCE:SOLUSDT,102552.26,133.33,134.9,133.0,2021-09-28 10:00:00
BINANCE:SOLUSDT,44468.14,134.41,134.62,133.27,2021-09-28 10:30:00
BINANCE:SOLUSDT,73748.63,135.33,135.89,133.72,2021-09-28 11:00:00
BINANCE:SOLUSDT,57331.32,135.75,135.95,134.57,2021-09-28 11:30:00
BINANCE:SOLUSDT,54436.58,135.54,135.9,134.71,2021-09-28 12:00:00
BINANCE:SOLUSDT,83532.34,133.67,135.64,133.02,2021-09-28 12:30:00
BINANCE:SOLUSDT,200723.59,135.14,136.58,132.79,2021-09-28 13:00:00
BINANCE:SOLUSDT,105529.25,134.24,136.16,134.06,2021-09-28 13:30:00
BINANCE:SOLUSDT,188955.75,132.68,134.42,131.69,2021-09-28 14:00:00
BINANCE:SOLUSDT,87322.66,132.72,133.92,132.06,2021-09-28 14:30:00
BINANCE:SOLUSDT,188543.32,131.08,132.82,130.4,2021-09-28 15:00:00
BINANCE:SOLUSDT,69374.33,130.43,132.25,130.36,2021-09-28 15:30:00
